Date,Time,DateTime,tempC,I,K,GPP,ER,NEP,FCO2,Chlorophyll_RFU,Cond_¦ÌS_cm,Depth_m,fDOM_QSU,fDOM_RFU,nLF_Cond_¦ÌS_cm,ODO_per_sat,ODO_per_local,ODO_mg_L,Pressure_psi_a,Sal_psu,SpCond_¦ÌS_cm,TAL_PC_RFU,TDS_mg_L,Turbidity_FNU,pH,Vertical_Position_m,Light_lux
7/2/2022,3:03:08,7/2/2022 3:03,21.248,0,0.016186214,0,0.038619307,-0.038619307,-0.053101548,0.25,231.9,0.322,24.33,8.11,251.3,66.4,67.6,5.89,0.154,0.12,249.6,0.11,162,-1.83,7.72,0.321,0
7/2/2022,3:08:08,7/2/2022 3:08,21.239,0,0.016182745,0,0.038595224,-0.038595224,-0.053068433,0.22,231.6,0.324,24.32,8.1,251.2,66.9,68,5.93,0.156,0.12,249.5,0.09,162,-1.8,7.73,0.326,0
7/2/2022,3:13:08,7/2/2022 3:13,21.221,0,0.01617581,0,0.038547102,-0.038547102,-0.053002266,0.25,231.7,0.324,24.3,8.1,251.3,66.6,67.7,5.9,0.157,0.12,249.6,0.12,162,-1.81,7.72,0.326,0
7/2/2022,3:18:08,7/2/2022 3:18,21.21,0,0.016171573,0,0.038517724,-0.038517724,-0.052961871,0.27,231.6,0.324,24.35,8.11,251.3,67,68.1,5.94,0.156,0.12,249.6,0.11,162,-2.24,7.73,0.322,0
7/2/2022,3:23:08,7/2/2022 3:23,21.194,0,0.016165412,0,0.038475032,-0.038475032,-0.05290317,0.23,231.5,0.324,24.39,8.13,251.3,67,68.2,5.95,0.156,0.12,249.6,0.06,162,-2.26,7.73,0.322,0
7/2/2022,3:28:08,7/2/2022 3:28,21.188,0,0.016163103,0,0.038459035,-0.038459035,-0.052881173,0.25,231.6,0.324,24.39,8.13,251.4,67.1,68.2,5.95,0.156,0.12,249.7,0.07,162,-1.99,7.73,0.326,0
7/2/2022,3:33:08,7/2/2022 3:33,21.171,0,0.016156561,0,0.038413746,-0.038413746,-0.0528189,0.23,231.6,0.324,24.36,8.12,251.5,67.1,68.2,5.95,0.157,0.12,249.8,0.09,162,-2.15,7.73,0.327,0
7/2/2022,3:38:08,7/2/2022 3:38,21.157,0,0.016151175,0,0.038376489,-0.038376489,-0.052767672,0.23,231.4,0.325,24.38,8.13,251.4,67,68.1,5.95,0.157,0.12,249.7,0.1,162,-2.27,7.73,0.323,0
7/2/2022,3:43:08,7/2/2022 3:43,21.137,0,0.016143484,0,0.038323327,-0.038323327,-0.052694574,0.23,231.5,0.324,24.41,8.14,251.6,67.2,68.3,5.97,0.157,0.12,249.8,0.16,162,-2.16,7.73,0.323,0
7/2/2022,3:48:08,7/2/2022 3:48,21.133,0,0.016141946,0,0.038312703,-0.038312703,-0.052679967,0.28,231.4,0.325,24.37,8.12,251.6,67.4,68.5,5.99,0.158,0.12,249.9,0.12,162,-2.24,7.73,0.323,0
7/2/2022,3:53:08,7/2/2022 3:53,21.126,0,0.016139256,0,0.038294119,-0.038294119,-0.052654414,0.25,231.5,0.327,24.38,8.13,251.7,67.1,68.3,5.97,0.16,0.12,250,0.09,162,-2.22,7.73,0.329,0
7/2/2022,3:58:08,7/2/2022 3:58,21.116,0,0.016135413,0,0.038267586,-0.038267586,-0.052617931,0.23,231.5,0.327,24.41,8.14,251.8,67.1,68.3,5.97,0.16,0.12,250,0.13,163,-2.07,7.73,0.325,0
7/2/2022,4:08:08,7/2/2022 4:08,21.073,0,0.016118898,0,0.038153704,-0.038153704,-0.052461342,0.24,231.6,0.327,24.4,8.13,251.9,66.9,68,5.95,0.16,0.12,250.2,0.11,163,-2.07,7.73,0.329,0
7/2/2022,4:13:08,7/2/2022 4:13,21.073,0,0.016118898,0,0.038153704,-0.038153704,-0.052461342,0.26,231.6,0.326,24.39,8.13,252,67,68.1,5.96,0.16,0.12,250.3,0.14,163,-2.05,7.73,0.329,0
7/2/2022,4:18:08,7/2/2022 4:18,21.052,0,0.016110839,0,0.03809821,-0.03809821,-0.052385038,0.24,231.7,0.327,24.43,8.14,252.3,67.6,68.7,6.01,0.161,0.12,250.5,0.14,163,-2.1,7.73,0.33,0
7/2/2022,4:23:08,7/2/2022 4:23,21.038,0,0.016105469,0,0.038061259,-0.038061259,-0.052334231,0.35,231.8,0.327,24.38,8.13,252.3,66.9,68,5.95,0.16,0.12,250.6,0.19,163,-1.77,7.73,0.326,0
7/2/2022,4:28:08,7/2/2022 4:28,21.029,0,0.016102018,0,0.038037523,-0.038037523,-0.052301595,0.26,231.7,0.328,24.43,8.14,252.4,67.1,68.3,5.97,0.161,0.12,250.6,0.13,163,-2.05,7.73,0.326,0
7/2/2022,4:33:08,7/2/2022 4:33,21.012,0,0.0160955,0,0.03799273,-0.03799273,-0.052240004,0.24,231.7,0.328,24.38,8.12,252.5,67.5,68.6,6.01,0.162,0.12,250.7,0.13,163,-2.08,7.73,0.327,0
7/2/2022,4:38:08,7/2/2022 4:38,21.006,0,0.0160932,0,0.037976934,-0.037976934,-0.052218284,0.25,231.7,0.327,24.41,8.14,252.5,67.5,68.6,6.01,0.161,0.12,250.7,0.11,163,-2.02,7.73,0.326,0
7/2/2022,4:43:08,7/2/2022 4:43,21.002,0,0.016091668,0,0.037966406,-0.037966406,-0.052203808,0.24,231.7,0.328,24.4,8.13,252.6,67.4,68.6,6.01,0.162,0.12,250.8,0.13,163,-2.17,7.73,0.327,0
7/2/2022,4:48:08,7/2/2022 4:48,20.985,0,0.016085154,0,0.037921697,-0.037921697,-0.052142333,0.26,231.7,0.328,24.42,8.14,252.7,67.4,68.5,6,0.162,0.12,250.8,0.12,163,-2.01,7.73,0.327,0
7/2/2022,4:53:08,7/2/2022 4:53,20.972,0,0.016080175,0,0.037887543,-0.037887543,-0.052095371,0.26,231.8,0.328,24.41,8.14,252.8,67.3,68.4,6,0.162,0.12,251,0.12,163,-2.13,7.73,0.328,0
7/2/2022,4:58:08,7/2/2022 4:58,20.965,0,0.016077495,0,0.037869165,-0.037869165,-0.052070102,0.28,231.9,0.328,24.4,8.13,253,67.5,68.6,6.01,0.162,0.12,251.2,0.08,163,-0.91,7.73,0.327,0
7/2/2022,5:03:08,7/2/2022 5:03,20.944,0,0.016069457,0,0.037814085,-0.037814085,-0.051994367,0.34,232,0.329,24.42,8.14,253.1,67.3,68.5,6,0.163,0.12,251.3,0.12,163,-2.07,7.73,0.328,0
7/2/2022,5:08:08,7/2/2022 5:08,20.942,0,0.016068691,0,0.037808843,-0.037808843,-0.05198716,0.25,232,0.33,24.38,8.13,253.2,67.2,68.3,5.99,0.164,0.12,251.3,0.12,163,-1.99,7.73,0.328,0
7/2/2022,5:13:08,7/2/2022 5:13,20.941,0.01979502,0.016068309,6.15E-06,0.037806223,-0.037800076,-0.051975105,0.24,232,0.331,24.4,8.13,253.4,67.6,68.8,6.03,0.166,0.12,251.5,0.12,163,-1.91,7.73,0.33,0
7/2/2022,5:18:08,7/2/2022 5:18,20.919,0.083805084,0.016059893,2.60E-05,0.037748618,-0.037722594,-0.051868567,0.25,232.1,0.331,24.44,8.14,253.5,67.3,68.4,6,0.166,0.12,251.6,0.12,164,-1.88,7.73,0.33,0
7/2/2022,5:23:08,7/2/2022 5:23,20.897,0.244385244,0.016051481,7.59E-05,0.037691101,-0.037615213,-0.051720918,0.23,232.2,0.332,24.46,8.15,253.6,67,68.2,5.98,0.167,0.12,251.7,0.1,164,-1.85,7.73,0.331,1.07
7/2/2022,5:28:08,7/2/2022 5:28,20.886,0.625670626,0.016047277,0.000194287,0.037662375,-0.037468088,-0.051518621,0.23,232.2,0.333,24.42,8.14,253.7,67.3,68.4,6.01,0.169,0.12,251.9,0.12,164,-1.82,7.73,0.332,4.53
7/2/2022,5:33:08,7/2/2022 5:33,20.879,1.300921301,0.016044602,0.00040397,0.037644106,-0.037240137,-0.051205188,0.28,232.1,0.334,24.44,8.15,253.8,67.4,68.6,6.02,0.17,0.12,251.9,0.13,164,-2.01,7.73,0.333,13.21
7/2/2022,5:38:08,7/2/2022 5:38,20.856,2.296962297,0.016035816,0.000713266,0.037584143,-0.036870877,-0.050697456,0.27,232.2,0.336,24.45,8.15,253.9,67.7,68.8,6.04,0.173,0.12,252,0.12,164,-1.93,7.73,0.334,33.82
7/2/2022,5:43:08,7/2/2022 5:43,20.867,3.643763644,0.016040017,0.001131482,0.037612809,-0.036481327,-0.050161825,0.24,232.3,0.336,24.46,8.15,254.1,67.6,68.7,6.03,0.173,0.12,252.2,0.11,164,-2.03,7.73,0.335,70.32
7/2/2022,5:48:08,7/2/2022 5:48,20.863,5.264365264,0.016038489,0.001634721,0.037602383,-0.035967662,-0.049455535,0.26,232.4,0.336,24.47,8.16,254.2,67.9,69.1,6.07,0.173,0.12,252.3,0.08,164,-2.16,7.74,0.335,124.16
7/2/2022,5:53:08,7/2/2022 5:53,20.863,7.207607208,0.016038489,0.002238147,0.037602383,-0.035364235,-0.048625824,0.23,232.5,0.336,24.45,8.15,254.3,67.3,68.4,6.01,0.173,0.12,252.4,0.14,164,-1.8,7.73,0.334,196.96
7/2/2022,5:58:08,7/2/2022 5:58,20.855,9.696969697,0.016035434,0.003011158,0.037581538,-0.03457038,-0.047534272,0.22,232.6,0.336,24.49,8.16,254.4,67.2,68.4,6.01,0.173,0.12,252.5,0.11,164,-1.96,7.73,0.335,284.56
7/2/2022,6:03:08,7/2/2022 6:03,20.847,12.2011322,0.01603238,0.003788765,0.037560705,-0.03377194,-0.046436418,0.25,232.7,0.337,24.5,8.17,254.6,66.8,67.9,5.97,0.174,0.12,252.7,0.1,164,-1.94,7.73,0.336,389.6
7/2/2022,6:08:08,7/2/2022 6:08,20.828,15.15521516,0.016025127,0.004706084,0.037511274,-0.03280519,-0.045107136,0.23,232.7,0.337,24.47,8.16,254.6,66.9,68.1,5.98,0.175,0.12,252.7,0.09,164,-1.24,7.73,0.336,524.16
7/2/2022,6:13:08,7/2/2022 6:13,20.837,17.59425759,0.016028562,0.005463469,0.037534681,-0.032071211,-0.044097915,0.21,232.8,0.337,24.46,8.15,254.7,67.2,68.4,6.01,0.174,0.12,252.8,0.09,164,-1.54,7.73,0.336,659.52
7/2/2022,6:18:08,7/2/2022 6:18,20.828,21.42450142,0.016025127,0.006652859,0.037511274,-0.030858415,-0.042430321,0.23,232.7,0.337,24.46,8.15,254.8,67.9,69,6.07,0.175,0.12,252.9,0.07,164,-2.01,7.74,0.336,819.2
7/2/2022,6:23:08,7/2/2022 6:23,20.822,23.43730344,0.016022837,0.007277885,0.037495677,-0.030217792,-0.041549464,0.24,232.9,0.338,24.45,8.15,254.9,67.2,68.4,6.01,0.177,0.12,253,0.15,164,-1.91,7.73,0.337,951.04
7/2/2022,6:28:08,7/2/2022 6:28,20.823,27.56354756,0.016023219,0.00855919,0.037498276,-0.028939086,-0.039791243,0.32,232.9,0.338,24.45,8.15,255,67.9,69.1,6.07,0.177,0.12,253.1,0.1,165,-2.02,7.74,0.337,1158.08
7/2/2022,6:33:08,7/2/2022 6:33,20.821,29.09090909,0.016022456,0.009033475,0.037493078,-0.028459603,-0.039131954,0.23,233,0.339,24.38,8.13,255.1,68.1,69.3,6.09,0.178,0.12,253.2,0.13,165,-1.92,7.74,0.338,1266.88
7/2/2022,6:38:08,7/2/2022 6:38,20.827,30.44067044,0.016024745,0.009452611,0.037508674,-0.028056063,-0.038577086,0.21,233,0.34,24.41,8.14,255.1,68.4,69.5,6.11,0.178,0.12,253.2,0.09,165,-1.88,7.74,0.339,1489.92
7/2/2022,6:43:08,7/2/2022 6:43,20.83,34.7030747,0.01602589,0.010776197,0.037516474,-0.026740277,-0.036767881,0.24,233.1,0.34,24.36,8.12,255.2,68.9,70.1,6.16,0.18,0.12,253.3,0.12,165,-2.02,7.74,0.343,1572.48
7/2/2022,6:48:08,7/2/2022 6:48,20.828,37.76963777,0.016025127,0.011728444,0.037511274,-0.02578283,-0.035451391,0.22,233.1,0.34,24.31,8.1,255.2,69.1,70.2,6.18,0.179,0.12,253.3,0.11,165,-1.79,7.74,0.339,1645.44
7/2/2022,6:53:08,7/2/2022 6:53,20.832,35.53187553,0.016026654,0.011033561,0.037521675,-0.026488114,-0.036421156,0.25,233.1,0.34,24.21,8.07,255.2,69.3,70.5,6.2,0.179,0.12,253.3,0.11,165,-1.77,7.74,0.339,1875.84
7/2/2022,6:58:08,7/2/2022 6:58,20.837,39.65219965,0.016028562,0.012313028,0.037534681,-0.025221653,-0.034679773,0.23,233.2,0.341,24.26,8.08,255.3,69.9,71.1,6.25,0.18,0.12,253.4,0.12,165,-2.07,7.75,0.34,2041.6
7/2/2022,7:03:08,7/2/2022 7:03,20.843,40.16132016,0.016030852,0.012471123,0.037550293,-0.025079171,-0.03448386,0.27,233.2,0.341,24.22,8.07,255.3,70.2,71.4,6.27,0.181,0.12,253.4,0.11,165,-1.99,7.75,0.34,1920.64
7/2/2022,7:08:08,7/2/2022 7:08,20.86,50.53317053,0.016037344,0.015691849,0.037594565,-0.021902716,-0.030116234,0.21,233.3,0.341,24.18,8.06,255.4,70.6,71.8,6.31,0.18,0.12,253.4,0.08,165,-1.87,7.75,0.34,2143.36
7/2/2022,7:13:08,7/2/2022 7:13,20.862,45.74980575,0.016038108,0.014206491,0.037599777,-0.023393285,-0.032165767,0.21,233.4,0.342,24.14,8.04,255.4,70.7,71.9,6.32,0.181,0.12,253.5,0.12,165,-1.79,7.75,0.34,2170.88
7/2/2022,7:18:08,7/2/2022 7:18,20.876,41.25060125,0.016043456,0.012809373,0.03763628,-0.024826907,-0.034136997,0.22,233.5,0.343,24.08,8.03,255.5,71.7,72.9,6.4,0.183,0.12,253.6,0.11,165,-2.03,7.76,0.342,2731.52
7/2/2022,7:23:08,7/2/2022 7:23,20.89,49.7043697,0.016048805,0.015434485,0.037672818,-0.022238333,-0.030577708,0.22,233.5,0.342,24,8,255.4,72.4,73.6,6.47,0.182,0.12,253.5,0.12,165,-1.37,7.76,0.341,2472.96
7/2/2022,7:28:08,7/2/2022 7:28,20.914,76.51015651,0.01605798,0.023758371,0.037735538,-0.013977167,-0.019218604,0.23,233.6,0.344,23.96,7.99,255.5,73,74.2,6.52,0.184,0.12,253.6,0.12,165,-1.71,7.77,0.343,2229.76
7/2/2022,7:33:08,7/2/2022 7:33,20.93,73.57383357,0.0160641,0.022846567,0.037777409,-0.014930842,-0.020529908,0.24,233.6,0.343,23.91,7.97,255.4,73.5,74.7,6.56,0.183,0.12,253.5,0.12,165,-1.38,7.76,0.342,2686.72
7/2/2022,7:38:08,7/2/2022 7:38,20.958,91.9021719,0.016074815,0.028537988,0.037850796,-0.009312808,-0.012805111,0.21,233.8,0.344,23.86,7.95,255.4,74.4,75.6,6.64,0.185,0.12,253.6,0.09,165,-2,7.77,0.343,4135.68
7/2/2022,7:43:08,7/2/2022 7:43,21.001,112.1485921,0.016091284,0.034825022,0.037963775,-0.003138753,-0.004315785,0.23,233.8,0.344,23.77,7.92,255.4,74.8,76.1,6.67,0.185,0.12,253.5,0.11,165,-1.89,7.78,0.343,3976.96
7/2/2022,7:48:08,7/2/2022 7:48,21.035,108.1703482,0.016104318,0.033589675,0.038053345,-0.00446367,-0.006137547,0.25,233.9,0.345,23.7,7.9,255.4,75.2,76.4,6.7,0.186,0.12,253.5,0.1,165,-1.98,7.78,0.344,4967.68
7/2/2022,7:53:08,7/2/2022 7:53,21.063,94.50697451,0.01611506,0.029346846,0.038127268,-0.008780422,-0.01207308,0.21,234.2,0.346,23.64,7.88,255.4,75.2,76.5,6.7,0.187,0.12,253.6,0.1,165,-2,7.78,0.344,6062.08
7/2/2022,7:58:08,7/2/2022 7:58,21.099,75.7997558,0.016128882,0.023537774,0.038222522,-0.014684749,-0.02019153,0.22,234.3,0.346,23.56,7.85,255.3,76.4,77.6,6.8,0.187,0.12,253.5,0.09,165,-1.73,7.78,0.344,5847.04
7/2/2022,8:08:08,7/2/2022 8:08,21.164,59.74469974,0.016153867,0.018552266,0.038395113,-0.019842847,-0.027283915,0.23,234.4,0.345,23.48,7.82,255.3,76.7,78,6.83,0.186,0.12,253.5,0.09,165,-2,7.79,0.344,5108.48
7/2/2022,8:13:08,7/2/2022 8:13,21.204,72.93447293,0.016169262,0.02264803,0.038501709,-0.01585368,-0.02179881,0.23,234.5,0.345,23.44,7.81,255.2,77.2,78.5,6.86,0.186,0.12,253.4,0.09,165,-1.55,7.79,0.344,4097.28
7/2/2022,8:18:08,7/2/2022 8:18,21.236,51.97765198,0.016181589,0.016140398,0.0385872,-0.022446802,-0.030864353,0.23,234.6,0.345,23.4,7.8,255.1,78.4,79.8,6.97,0.186,0.12,253.3,0.1,165,-2.05,7.79,0.343,3403.52
7/2/2022,8:23:08,7/2/2022 8:23,21.298,59.24741925,0.016205498,0.018397847,0.038753378,-0.02035553,-0.027988854,0.22,234.6,0.345,23.37,7.79,255,79.7,81.1,7.08,0.186,0.12,253.2,0.06,165,-2.01,7.81,0.344,3229.44
7/2/2022,8:28:08,7/2/2022 8:28,21.359,80.77256077,0.016229057,0.025081957,0.038917574,-0.013835616,-0.019023973,0.2,234.8,0.345,23.3,7.77,254.9,80.2,81.5,7.12,0.186,0.12,253.2,0.1,165,-2.1,7.81,0.344,3942.4
7/2/2022,8:33:08,7/2/2022 8:33,21.412,112.953713,0.016249553,0.035075033,0.039060801,-0.003985768,-0.005480431,0.22,234.8,0.345,23.29,7.76,254.8,82.8,84.2,7.34,0.187,0.12,253,0.07,164,-2.09,7.82,0.348,2809.6
7/2/2022,8:38:08,7/2/2022 8:38,21.503,139.0964591,0.016284806,0.043193028,0.039307949,0.003885078,0.005341983,0.21,235.1,0.346,23.26,7.75,254.7,83.7,85.1,7.41,0.188,0.12,253,0.06,164,-2.13,7.83,0.35,3202.56
7/2/2022,8:43:08,7/2/2022 8:43,21.562,121.3364413,0.016307702,0.037678085,0.039469024,-0.001790938,-0.00246254,0.2,235.3,0.346,23.2,7.73,254.6,85.4,86.9,7.56,0.187,0.12,252.9,0.07,164,-2.23,7.84,0.349,4366.08
7/2/2022,8:48:08,7/2/2022 8:48,21.651,229.5067895,0.016342303,0.07126776,0.03971325,0.031554511,0.043387453,0.2,235.4,0.346,23.14,7.71,254.4,86.2,87.7,7.62,0.187,0.12,252.7,0.06,164,-2.21,7.85,0.344,6105.6
7/2/2022,8:53:08,7/2/2022 8:53,21.703,128.6772487,0.016362552,0.039957595,0.039856642,0.000100953,0.00013881,0.22,235.7,0.346,22.99,7.66,254.2,87,88.5,7.68,0.187,0.12,252.6,0.06,164,-2.05,7.84,0.345,7518.72
